product_id,category_id,brand_id,supplier_id,product_name,sku,barcode,description,unit_price,cost_price,is_active,created_at,updated_at
1,1,1,20,Samsung 55-Inch Smart Television,RN-ELEC-SAMS-000001,8900000000012,Samsung 55-Inch Smart Television supplied through RetailNova's Electronics product portfolio.,39885.45,34500.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
2,1,3,6,Sony Wireless Noise-Cancelling Headphones,RN-ELEC-SONY-000002,8900000000029,Sony Wireless Noise-Cancelling Headphones supplied through RetailNova's Electronics product portfolio.,13121.92,11200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
3,1,4,15,LG Ultra-HD Smart Monitor,RN-ELEC-LG-000003,8900000000036,LG Ultra-HD Smart Monitor supplied through RetailNova's Electronics product portfolio.,27848.38,23800.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
4,2,18,5,Puma Everyday Running Shoes,RN-FASH-PUMA-000004,8900000000043,Puma Everyday Running Shoes supplied through RetailNova's Fashion product portfolio.,2889.39,2100.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
5,2,19,10,Adidas Performance Track Jacket,RN-FASH-ADID-000005,8900000000050,Adidas Performance Track Jacket supplied through RetailNova's Fashion product portfolio.,2631.12,1900.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
6,2,20,14,Nike Lightweight Training Shoes,RN-FASH-NIKE-000006,8900000000067,Nike Lightweight Training Shoes supplied through RetailNova's Fashion product portfolio.,3467.10,2600.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
7,2,21,16,Levi's Classic Straight-Fit Jeans,RN-FASH-LEVI-000007,8900000000074,Levi's Classic Straight-Fit Jeans supplied through RetailNova's Fashion product portfolio.,2643.90,1750.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
8,3,27,19,Prestige Stainless Steel Pressure Cooker,RN-HOME-PRES-000008,8900000000081,Prestige Stainless Steel Pressure Cooker supplied through RetailNova's Home & Kitchen product portfolio.,2222.39,1650.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
9,3,28,7,Pigeon Multi-Purpose Mixer Grinder,RN-HOME-PIGE-000009,8900000000098,Pigeon Multi-Purpose Mixer Grinder supplied through RetailNova's Home & Kitchen product portfolio.,2673.22,2200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
10,3,29,13,Milton Insulated Water Bottle Set,RN-HOME-MILT-000010,8900000000104,Milton Insulated Water Bottle Set supplied through RetailNova's Home & Kitchen product portfolio.,827.45,650.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
11,3,14,18,Philips Digital Air Fryer,RN-HOME-PHIL-000011,8900000000111,Philips Digital Air Fryer supplied through RetailNova's Home & Kitchen product portfolio.,7694.82,6200.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
12,4,23,11,Lakmé Matte Finish Lip Colour,RN-BEAU-LAKM-000012,8900000000128,Lakmé Matte Finish Lip Colour supplied through RetailNova's Beauty & Personal Care product portfolio.,417.22,320.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
13,4,24,2,Mamaearth Natural Face Wash,RN-BEAU-MAMA-000013,8900000000135,Mamaearth Natural Face Wash supplied through RetailNova's Beauty & Personal Care product portfolio.,374.63,260.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
14,4,25,12,L'Oréal Paris Repair Hair Serum,RN-BEAU-LOR-000014,8900000000142,L'Oréal Paris Repair Hair Serum supplied through RetailNova's Beauty & Personal Care product portfolio.,612.29,480.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
15,4,26,3,Himalaya Herbal Anti-Dandruff Shampoo,RN-BEAU-HIMA-000015,8900000000159,Himalaya Herbal Anti-Dandruff Shampoo supplied through RetailNova's Beauty & Personal Care product portfolio.,282.45,210.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
16,5,32,17,Decathlon Non-Slip Yoga Mat,RN-SPOR-DECA-000016,8900000000166,Decathlon Non-Slip Yoga Mat supplied through RetailNova's Sports & Fitness product portfolio.,928.58,720.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
17,5,33,8,Yonex Lightweight Badminton Racquet,RN-SPOR-YONE-000017,8900000000173,Yonex Lightweight Badminton Racquet supplied through RetailNova's Sports & Fitness product portfolio.,2379.10,1850.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
18,5,18,9,Puma Training Gym Duffel Bag,RN-SPOR-PUMA-000018,8900000000180,Puma Training Gym Duffel Bag supplied through RetailNova's Sports & Fitness product portfolio.,1772.54,1400.00,True,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
