return_id,order_item_id,return_date,quantity,reason,return_status,refund_amount,created_at,updated_at
1,425,2025-12-25 10:26:06+00:00,1,QUALITY_NOT_AS_EXPECTED,APPROVED,2405.90,2025-12-25 10:26:06+00:00,2025-12-25 10:26:06+00:00
2,338,2025-04-05 01:56:53+00:00,1,DELIVERED_LATE,REJECTED,0.00,2025-04-05 01:56:53+00:00,2025-04-05 01:56:53+00:00
3,517,2025-03-15 04:46:35+00:00,1,DAMAGED_PRODUCT,APPROVED,6531.49,2025-03-15 04:46:35+00:00,2025-03-15 04:46:35+00:00
4,245,2025-03-20 23:04:19+00:00,1,PRODUCT_NOT_REQUIRED,REQUESTED,0.00,2025-03-20 23:04:19+00:00,2025-03-20 23:04:19+00:00
5,439,2025-05-07 19:58:07+00:00,2,DEFECTIVE_PRODUCT,REQUESTED,0.00,2025-05-07 19:58:07+00:00,2025-05-07 19:58:07+00:00
6,45,2024-07-16 13:09:23+00:00,1,DAMAGED_PRODUCT,REJECTED,0.00,2024-07-16 13:09:23+00:00,2024-07-16 13:09:23+00:00
7,444,2025-12-13 01:44:22+00:00,1,PRODUCT_NOT_REQUIRED,REQUESTED,0.00,2025-12-13 01:44:22+00:00,2025-12-13 01:44:22+00:00
8,525,2025-11-22 21:16:43+00:00,1,PRODUCT_NOT_REQUIRED,REJECTED,0.00,2025-11-22 21:16:43+00:00,2025-11-22 21:16:43+00:00
9,104,2025-11-12 14:47:59+00:00,2,SIZE_OR_FIT_ISSUE,APPROVED,20314.52,2025-11-12 14:47:59+00:00,2025-11-12 14:47:59+00:00
10,413,2025-10-27 20:19:18+00:00,1,DAMAGED_PRODUCT,REFUNDED,3467.10,2025-10-27 20:19:18+00:00,2025-10-27 20:19:18+00:00
11,402,2025-12-13 06:04:48+00:00,1,MISSING_PARTS,REJECTED,0.00,2025-12-13 06:04:48+00:00,2025-12-13 06:04:48+00:00
12,570,2025-07-05 14:03:36+00:00,1,PRODUCT_NOT_REQUIRED,REFUNDED,799.39,2025-07-05 14:03:36+00:00,2025-07-05 14:03:36+00:00
13,465,2025-06-05 03:08:06+00:00,3,DAMAGED_PRODUCT,REQUESTED,0.00,2025-06-05 03:08:06+00:00,2025-06-05 03:08:06+00:00
14,403,2025-12-14 11:37:48+00:00,1,DEFECTIVE_PRODUCT,APPROVED,33223.05,2025-12-14 11:37:48+00:00,2025-12-14 11:37:48+00:00
15,22,2024-06-13 03:53:06+00:00,1,QUALITY_NOT_AS_EXPECTED,REQUESTED,0.00,2024-06-13 03:53:06+00:00,2024-06-13 03:53:06+00:00
16,98,2024-05-09 02:50:59+00:00,1,DEFECTIVE_PRODUCT,APPROVED,2596.66,2024-05-09 02:50:59+00:00,2024-05-09 02:50:59+00:00
17,339,2025-04-06 21:13:53+00:00,1,SIZE_OR_FIT_ISSUE,APPROVED,42147.04,2025-04-06 21:13:53+00:00,2025-04-06 21:13:53+00:00
18,487,2025-08-05 01:06:59+00:00,1,DELIVERED_LATE,REFUNDED,827.45,2025-08-05 01:06:59+00:00,2025-08-05 01:06:59+00:00
19,91,2024-01-21 14:42:50+00:00,1,SIZE_OR_FIT_ISSUE,APPROVED,2260.14,2024-01-21 14:42:50+00:00,2024-01-21 14:42:50+00:00
20,251,2025-03-30 00:35:19+00:00,2,SIZE_OR_FIT_ISSUE,APPROVED,71793.81,2025-03-30 00:35:19+00:00,2025-03-30 00:35:19+00:00
21,423,2024-10-20 01:16:35+00:00,1,QUALITY_NOT_AS_EXPECTED,REQUESTED,0.00,2024-10-20 01:16:35+00:00,2024-10-20 01:16:35+00:00
22,175,2025-09-05 23:01:45+00:00,1,WRONG_PRODUCT,APPROVED,893.85,2025-09-05 23:01:45+00:00,2025-09-05 23:01:45+00:00
23,590,2025-04-09 17:15:30+00:00,1,PRODUCT_NOT_REQUIRED,APPROVED,1772.54,2025-04-09 17:15:30+00:00,2025-04-09 17:15:30+00:00
24,96,2025-03-30 19:39:24+00:00,2,QUALITY_NOT_AS_EXPECTED,APPROVED,4444.78,2025-03-30 19:39:24+00:00,2025-03-30 19:39:24+00:00
25,158,2025-03-19 22:00:27+00:00,1,DEFECTIVE_PRODUCT,REFUNDED,39867.66,2025-03-19 22:00:27+00:00,2025-03-19 22:00:27+00:00
